origin,destination,depart_date,gate,price_eur_new,price_eur_old,price_diff,change_pct,route,change_type
BCN,MAD,2026-02-01,City.Travel,54,54,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-10-22,City.Travel,54,54,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-10-04,Trip.com,62,62,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-10-08,Trip.com,62,62,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-09-22,City.Travel,63,62,1,1.6129032258064515,BCN → MAD,Minor Increase (1-5%)
BCN,MAD,2025-10-07,City.Travel,69,68,1,1.4705882352941175,BCN → MAD,Minor Increase (1-5%)
BCN,MAD,2025-10-07,City.Travel,69,70,-1,-1.4285714285714286,BCN → MAD,Minor Drop (1-5%)
BCN,MAD,2025-10-04,City.Travel,69,69,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-10-09,Clickavia,70,69,1,1.4492753623188406,BCN → MAD,Minor Increase (1-5%)
BCN,MAD,2025-10-07,City.Travel,70,68,2,2.941176470588235,BCN → MAD,Minor Increase (1-5%)
BCN,MAD,2025-10-07,City.Travel,70,70,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-07-09,City.Travel,92,92,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-07-08,City.Travel,96,95,1,1.0526315789473684,BCN → MAD,Minor Increase (1-5%)
BCN,MAD,2025-07-15,City.Travel,96,96,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-07-22,City.Travel,102,102,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-08-11,City.Travel,103,102,1,0.9803921568627451,BCN → MAD,Stable (±1%)
BCN,MAD,2025-07-24,City.Travel,106,105,1,0.9523809523809524,BCN → MAD,Stable (±1%)
BCN,MAD,2025-08-01,Biletix,106,106,0,0.0,BCN → MAD,Stable (±1%)
BCN,MAD,2025-07-15,City.Travel,110,96,14,14.583333333333334,BCN → MAD,Major Increase (>5%)
BCN,MAD,2025-08-20,Aviakassa,112,111,1,0.9009009009009009,BCN → MAD,Stable (±1%)
