depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2025-10-24,IST,TYO,City.Travel,2025-11-02,2025-06-12T13:51:27,0,588,1,2360,8995,True,True
2026-04-12,IST,TYO,Kupi.com,2026-04-22,2025-06-18T03:00:01,0,624,1,2715,8995,True,True
2026-04-26,IST,TYO,Kupi.com,2026-05-06,2025-06-18T03:01:07,0,624,1,2715,8995,True,True
2026-04-26,IST,TYO,Kupi.com,2026-05-11,2025-06-18T03:18:03,0,624,1,2715,8995,True,True
2025-11-02,IST,TYO,Kupi.com,2025-11-10,2025-06-12T15:13:55,0,626,1,2710,8995,True,True
2026-04-26,IST,TYO,Kupi.com,2026-05-09,2025-06-18T04:28:22,0,627,1,2715,8995,True,True
2025-09-04,IST,TYO,Trip.com,2025-09-17,2025-06-16T14:38:35,0,632,1,2715,8995,True,True
2025-09-07,IST,TYO,Kupi.com,2025-09-17,2025-06-17T02:47:31,0,635,1,2715,8995,True,True
2025-11-02,IST,TYO,Kupi.com,2025-11-15,2025-06-15T21:35:38,0,637,1,2710,8995,True,True
2025-10-30,IST,TYO,Kupi.com,2025-11-15,2025-06-12T12:13:15,0,647,1,2710,8995,True,True
2025-08-11,IST,TYO,SuperKassa,2025-08-21,2025-06-15T11:12:43,0,647,1,2305,8995,True,True
2025-09-04,IST,TYO,Kupi.com,2025-09-13,2025-06-12T07:41:44,0,655,1,2715,8995,True,True
2025-07-24,IST,TYO,City.Travel,2025-07-31,2025-06-13T11:51:58,0,656,1,2150,8995,True,True
2025-06-25,IST,TYO,City.Travel,2025-07-02,2025-06-12T09:31:22,0,664,1,2285,8995,True,True
2025-09-02,IST,TYO,Kupi.com,2025-09-13,2025-06-14T12:36:11,0,684,1,2715,8995,True,True
2025-12-25,IST,TYO,Kupi.com,2026-01-03,2025-06-13T19:44:30,0,685,1,2710,8995,True,True
2025-09-21,IST,TYO,Kupi.com,2025-10-04,2025-06-16T11:15:39,0,691,1,2715,8995,True,True
2026-03-30,IST,TYO,City.Travel,2026-04-12,2025-06-17T14:28:25,0,692,1,2230,8995,True,True
2025-09-11,IST,TYO,Kupi.com,2025-09-20,2025-06-16T17:01:05,0,695,1,2715,8995,True,True
2026-01-15,IST,TYO,Kupi.com,2026-01-21,2025-06-11T18:33:37,0,698,1,2710,8995,True,True
2025-09-28,IST,TYO,Kupi.com,2025-10-08,2025-06-16T11:14:04,0,708,1,2715,8995,True,True
2025-08-28,IST,TYO,Trip.com,2025-09-11,2025-06-16T14:10:34,0,710,2,3450,8995,True,True
2025-11-04,IST,TYO,Aviakassa,2025-11-18,2025-06-15T12:31:46,0,713,2,4460,8968,True,True
2025-10-05,IST,TYO,Kupi.com,2025-10-15,2025-06-12T20:48:43,0,714,1,2715,8995,True,True
2025-11-06,IST,TYO,Kupi.com,2025-11-09,2025-06-12T17:02:24,0,715,1,2180,8995,True,True
2025-08-08,IST,TYO,OneTwoTrip,2025-08-15,2025-06-12T09:11:40,0,716,1,2670,8995,True,True
2025-11-06,IST,TYO,Kupi.com,2025-11-13,2025-06-14T07:41:10,0,719,1,2180,8995,True,True
2025-09-19,IST,TYO,Aviakassa,2025-09-22,2025-06-13T05:11:48,0,719,2,4285,8995,True,True
2025-10-14,IST,TYO,Kupi.com,2025-10-25,2025-06-11T19:22:26,0,720,1,2840,8995,True,True
2025-08-09,IST,TYO,OneTwoTrip,2025-08-17,2025-06-12T06:20:04,0,721,1,2370,8995,True,True
