depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2025-06-25,TYO,BUE,Biletix,2025-07-08,2025-06-16T04:14:18,0,1448,2,4245,18295,True,True
2025-09-08,TYO,BUE,City.Travel,2025-09-22,2025-06-14T13:00:22,0,1520,2,3655,18295,True,True
2025-06-25,TYO,BUE,City.Travel,2025-07-07,2025-06-16T04:15:18,0,1559,1,4170,18295,True,True
2025-08-24,TYO,BUE,City.Travel,2025-09-06,2025-06-17T13:23:51,0,1581,1,4170,18295,True,True
2025-08-31,TYO,BUE,City.Travel,2025-09-06,2025-06-17T13:23:55,0,1581,1,4170,18295,True,True
2025-07-19,TYO,BUE,City.Travel,2025-07-29,2025-06-14T18:20:05,0,1839,2,4295,18295,True,True
2025-07-18,TYO,BUE,City.Travel,2025-07-31,2025-06-14T16:58:01,0,1866,2,5426,18295,True,True
2025-06-25,TYO,BUE,City.Travel,2025-07-09,2025-06-16T04:13:23,0,1959,1,4170,18295,True,True
2025-07-01,TYO,BUE,Kupi.com,2025-07-17,2025-06-15T12:51:37,0,2010,3,5532,18295,True,True
2025-09-14,TYO,BUE,Aviakassa,2025-10-03,2025-06-15T15:39:49,0,2050,2,6185,18295,True,True
2025-12-11,TYO,BUE,MEGO.travel,2025-12-18,2025-06-14T07:55:16,0,2161,2,6215,18295,True,True
2025-06-19,TYO,BUE,Kupi.com,2025-06-20,2025-06-14T15:33:42,0,2185,3,5678,18295,True,True
