depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2026-04-19,BCN,LAX,Aviakassa,2026-05-08,2025-06-18T03:46:10,0,382,0,1495,9673,True,True
2025-09-24,BCN,LAX,Kupi.com,2025-10-04,2025-06-16T14:07:02,0,409,0,1485,9673,True,True
2026-01-13,BCN,LAX,Kupi.com,2026-02-05,2025-06-14T20:00:49,0,418,2,2350,9673,True,True
2025-07-10,BCN,LAX,Trip.com,2025-07-13,2025-06-16T16:06:40,0,567,1,3390,9673,True,True
2025-07-24,BCN,LAX,SWISS,2025-08-06,2025-06-16T02:04:40,0,570,2,2650,9673,True,True
2025-07-24,BCN,LAX,SWISS,2025-08-07,2025-06-16T00:04:43,0,570,2,2345,9673,True,True
2025-07-24,BCN,LAX,Lufthansa,2025-08-09,2025-06-16T00:03:50,0,582,1,1811,9673,True,True
2025-07-11,BCN,LAX,Lufthansa,2025-07-13,2025-06-16T12:01:48,0,584,1,1970,9673,True,True
2025-07-24,BCN,LAX,Lufthansa,2025-08-08,2025-06-16T00:02:53,0,586,1,1835,9673,True,True
2025-08-06,BCN,LAX,OneTwoTrip,2025-08-27,2025-06-12T09:09:53,0,593,2,2140,9673,True,True
2025-06-27,BCN,LAX,Biletix,2025-07-06,2025-06-18T16:13:43,0,597,1,2393,9673,True,True
2025-06-23,BCN,LAX,Kupi.com,2025-07-23,2025-06-14T04:35:06,0,601,1,1893,9673,True,True
2025-07-25,BCN,LAX,Lufthansa,2025-08-08,2025-06-16T00:04:12,0,604,1,1981,9673,True,True
2025-07-15,BCN,LAX,Авиасейлс,2025-07-20,2025-06-12T21:14:57,0,618,1,3171,9673,True,True
2025-08-09,BCN,LAX,Kupi.com,2025-08-27,2025-06-12T09:09:55,0,648,1,1795,9673,True,True
2025-08-08,BCN,LAX,City.Travel,2025-08-28,2025-06-12T09:09:52,0,651,2,2281,9673,True,True
2025-08-10,BCN,LAX,Kupi.com,2025-08-26,2025-06-12T09:09:52,0,669,1,1790,9673,True,True
2025-06-20,BCN,LAX,Aviakassa,2025-06-27,2025-06-16T05:15:19,0,840,1,2335,9673,True,True
