depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2026-02-01,BCN,MAD,City.Travel,2026-02-15,2025-06-13T16:34:04,0,54,0,160,483,True,True
2025-10-22,BCN,MAD,City.Travel,2025-10-26,2025-06-12T15:57:07,0,54,0,160,483,True,True
2025-10-04,BCN,MAD,Trip.com,2025-10-10,2025-06-16T17:59:34,0,62,0,160,483,True,True
2025-10-08,BCN,MAD,Trip.com,2025-10-10,2025-06-16T17:59:31,0,62,0,160,483,True,True
2025-09-22,BCN,MAD,City.Travel,2025-09-30,2025-06-17T15:05:20,0,63,1,575,483,True,True
2025-10-07,BCN,MAD,City.Travel,2025-10-07,2025-06-13T16:14:11,0,69,0,160,483,True,True
2025-10-04,BCN,MAD,City.Travel,2025-10-11,2025-06-13T12:25:17,0,69,0,160,483,True,True
2025-10-09,BCN,MAD,Clickavia,2025-10-12,2025-06-16T13:02:36,0,70,0,160,483,True,True
2025-10-07,BCN,MAD,City.Travel,2025-10-09,2025-06-18T11:01:26,0,70,0,160,483,True,True
2025-07-09,BCN,MAD,City.Travel,2025-07-26,2025-06-18T07:30:50,0,92,1,760,483,True,True
2025-07-08,BCN,MAD,City.Travel,2025-07-08,2025-06-12T19:38:09,0,96,1,715,483,True,True
2025-07-15,BCN,MAD,City.Travel,2025-07-17,2025-06-14T09:54:41,0,96,1,1875,483,True,True
2025-07-14,BCN,MAD,City.Travel,2025-07-15,2025-06-18T22:00:35,0,99,1,1470,483,True,True
2025-07-22,BCN,MAD,City.Travel,2025-07-23,2025-06-16T19:14:32,0,102,1,470,483,True,True
2025-08-11,BCN,MAD,City.Travel,2025-08-17,2025-06-12T17:14:33,0,103,1,1660,483,True,True
2025-07-24,BCN,MAD,City.Travel,2025-07-25,2025-06-15T12:50:21,0,106,1,1915,483,True,True
2025-08-01,BCN,MAD,Biletix,2025-08-03,2025-06-12T11:46:21,0,106,0,160,483,True,True
2025-07-15,BCN,MAD,City.Travel,2025-07-15,2025-06-18T22:01:31,0,110,1,715,483,True,True
2025-08-20,BCN,MAD,Aviakassa,2025-09-05,2025-06-15T22:10:11,0,112,1,750,483,True,True
2025-08-04,BCN,MAD,City.Travel,2025-08-08,2025-06-14T07:34:17,0,114,1,835,483,True,True
2025-07-28,BCN,MAD,City.Travel,2025-08-18,2025-06-16T19:42:44,0,115,1,2085,483,True,True
2025-06-24,BCN,MAD,Aviakassa,2025-06-25,2025-06-18T13:09:30,0,120,0,175,483,True,True
2025-07-11,BCN,MAD,City.Travel,2025-07-12,2025-06-16T19:38:07,0,121,1,480,483,True,True
2025-08-24,BCN,MAD,City.Travel,2025-08-25,2025-06-17T15:01:02,0,124,1,1615,483,True,True
2025-06-30,BCN,MAD,Aviakassa,2025-07-02,2025-06-13T07:15:35,0,124,1,1230,483,True,True
2025-06-26,BCN,MAD,Kupi.com,2025-06-27,2025-06-18T16:40:39,0,125,1,700,483,True,True
2025-06-28,BCN,MAD,City.Travel,2025-07-01,2025-06-12T15:19:01,0,125,1,1540,483,True,True
2025-06-23,BCN,MAD,City.Travel,2025-06-24,2025-06-12T16:48:23,0,134,1,2285,483,True,True
2025-06-30,BCN,MAD,City.Travel,2025-07-01,2025-06-13T07:16:48,0,134,1,1890,483,True,True
2025-06-21,BCN,MAD,Kupi.com,2025-06-28,2025-06-14T10:12:50,0,138,0,175,483,True,True
