depart_date,origin,destination,gate,return_date,found_at,trip_class,price_eur,number_of_changes,duration,distance,show_to_affiliates,actual
2026-03-25,IST,BUE,Kupi.com,2026-04-08,2025-06-14T15:28:45,0,928,2,5275,12256,True,True
2026-02-13,IST,BUE,Kupi.com,2026-02-20,2025-06-18T07:03:06,0,940,2,4770,12256,True,True
2026-02-03,IST,BUE,Авиасейлс,2026-02-25,2025-06-14T11:11:45,0,962,2,4440,12256,True,True
2026-02-02,IST,BUE,Авиасейлс,2026-03-02,2025-06-16T10:12:58,0,970,2,4385,12256,True,True
2025-11-13,IST,BUE,Авиасейлс,2025-11-27,2025-06-18T03:52:21,0,971,1,2505,12256,True,True
2025-06-19,IST,BUE,Biletix,2025-06-25,2025-06-15T04:38:31,0,976,1,2495,12288,True,True
2025-06-19,IST,BUE,Biletix,2025-06-29,2025-06-15T03:52:13,0,977,1,2540,12288,True,True
2025-06-19,IST,BUE,Biletix,2025-06-30,2025-06-15T03:52:14,0,977,1,2540,12288,True,True
2026-02-13,IST,BUE,Kupi.com,2026-02-28,2025-06-19T08:07:26,0,986,2,3620,12256,True,True
2026-03-07,IST,BUE,Kupi.com,2026-03-21,2025-06-19T05:34:35,0,989,2,3545,12256,True,True
2026-02-15,IST,BUE,Авиасейлс,2026-02-25,2025-06-17T13:11:48,0,989,2,4375,12256,True,True
2025-09-08,IST,BUE,Kupi.com,2025-09-22,2025-06-17T19:54:39,0,999,2,3767,12256,True,True
2025-06-19,IST,BUE,Aviakassa,2025-06-26,2025-06-18T14:19:33,0,1000,2,3360,12288,True,True
2025-08-18,IST,BUE,City.Travel,2025-08-28,2025-06-17T15:57:29,0,1002,1,3080,12256,True,True
2025-09-10,IST,BUE,City.Travel,2025-09-25,2025-06-18T16:08:42,0,1003,1,3065,12256,True,True
2026-02-01,IST,BUE,Авиасейлс,2026-02-08,2025-06-15T08:09:17,0,1003,2,4920,12256,True,True
2025-10-02,IST,BUE,Kupi.com,2025-10-14,2025-06-13T07:18:19,0,1012,2,3587,12256,True,True
2025-09-14,IST,BUE,Авиасейлс,2025-10-03,2025-06-15T15:38:32,0,1012,2,3270,12256,True,True
2026-04-23,IST,BUE,OneTwoTrip,2026-05-07,2025-06-15T21:21:50,0,1015,2,5635,12256,True,True
2025-10-02,IST,BUE,Kupi.com,2025-10-20,2025-06-13T08:17:02,0,1015,2,3639,12256,True,True
2026-02-15,IST,BUE,Авиасейлс,2026-03-05,2025-06-13T07:36:12,0,1015,2,4370,12256,True,True
2025-06-19,IST,BUE,Авиасейлс,2025-07-03,2025-06-16T09:13:20,0,1022,1,2480,12288,True,True
2026-03-04,IST,BUE,City.Travel,2026-03-12,2025-06-14T13:42:03,0,1022,1,3075,12256,True,True
2026-03-29,IST,BUE,Kupi.com,2026-04-12,2025-06-13T05:39:30,0,1025,2,4045,12256,True,True
2025-09-28,IST,BUE,Kupi.com,2025-10-24,2025-06-14T08:11:40,0,1025,2,3727,12256,True,True
2026-05-16,IST,BUE,OneTwoTrip,2026-05-28,2025-06-17T20:51:52,0,1030,1,2595,12256,True,True
2025-09-14,IST,BUE,Kupi.com,2025-09-29,2025-06-14T06:41:15,0,1032,2,3270,12256,True,True
2025-11-10,IST,BUE,Trip.com,2025-11-16,2025-06-12T18:49:55,0,1038,1,2505,12256,True,True
2025-09-08,IST,BUE,Kupi.com,2025-09-17,2025-06-17T20:45:32,0,1041,2,4275,12256,True,True
2025-06-24,IST,BUE,Авиасейлс,2025-07-03,2025-06-16T07:00:39,0,1042,2,3310,12256,True,True
